decisions,propagations,conflicts,user-propagations,final-checks,problem,length,steps,mutexes,propagator
105,2047,38,25,1,grounder_dcrm_qurm_strips-gripper-x-1,12,4,56,exists-lazy
21,2671,22,0,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,13,7,0,exists-decide
111,2585,17,0,1,grounder_dcrm_qurm_pathways-01,7,5,969,forall
594,7965,68,0,1,grounder_dcrm_qurm_mprime-x-3,18,3,68591,exists
44225,5932807,25554,0,1,grounder_dcrm_qurm_power1,25,15,0,exists-code
802,69886,375,501,1,grounder_dcrm_qurm_roverprob4213,9,7,6526,exists-prop
73,6354,55,3,4,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,12,8,10,forall-final
2939,55063,291,26,27,grounder_dcrm_qurm_ztravel-2-4,11,5,104,forall-final
3,5,0,0,1,grounder_dcrm_qurm_briefcase-o1,1,1,0,exists-stepshare
332,22660,127,498,1,grounder_dcrm_qurm_roverprob3726,17,8,4668,forall-prop
82226,8946369,13463,1718,1,grounder_dcrm_qurm_truck-3,21,9,4025,exists-stepshare
1,681,8,1,1,grounder_dcrm_qurm_problem_x,8,8,88,forall-prop
7,451,7,2,1,grounder_dcrm_qurm_printjob,8,8,57,forall-prop
15698,86061,142,69,70,grounder_dcrm_qurm_mprime-x-3,19,4,1748,forall-final
2184,84073,920,187,1,grounder_dcrm_qurm_strips-gripper-x-1,11,7,421,forall-lazy
5615,307045,835,1092,1,grounder_dcrm_qurm_pegsolitaire-sequential-014,9,9,8370,forall-prop
2,5,0,1,1,grounder_dcrm_qurm_briefcase-o1,1,1,3,exists-prop
6,454,7,0,1,grounder_dcrm_qurm_printjob,8,8,81,forall
23118,4937291,10272,818,1,grounder_dcrm_qurm_strips-sat-x-1,18,9,13346,exists-prop
130,2434,17,0,1,grounder_dcrm_qurm_pathways-02,30,7,539,exists
241,1849,24,8,9,grounder_dcrm_qurm_network1new_all_6_2_instance,5,3,88,exists-final
2,32,2,0,1,grounder_dcrm_qurm_instance_2_1,1,1,0,exists-stepshare
2884,385891,834,100,1,grounder_dcrm_qurm_strips-sat-x-1,15,7,409,forall-decide
512,16542,194,56,1,grounder_dcrm_qurm_name,10,10,91,exists-code
186131,13850903,87880,1071,1072,grounder_dcrm_qurm_strips-gripper-x-2,17,11,14953,exists-final
70546,5607241,35219,1142,1,grounder_dcrm_qurm_strips-gripper-x-2,17,11,6349,forall-prop
96,2540,14,0,1,grounder_dcrm_qurm_pathways-02,30,7,551,exists
19167,2941500,10065,40,1,grounder_dcrm_qurm_pfile01,9,9,1069,exists-stepshare
